Area_of_Origin;Business_Impact;Civilian_Casualties;Count_of_Persons_Rescued;Estimated_Dollar_Loss;Estimated_Number_Of_Persons_Displaced;Ext_agent_app_or_defer_time;Extent_Of_Fire;Fire_Alarm_System_Impact_on_Evacuation;Fire_Alarm_System_Operation;Fire_Alarm_System_Presence;Fire_Under_Control_Time;Ignition_Source;Incident_Station_Area;Incident_Ward;Last_TFS_Unit_Clear_Time;Latitude;Longitude;Material_First_Ignited;Method_Of_Fire_Control;Possible_Cause;Property_Use;Smoke_Alarm_at_Fire_Origin_Alarm_Failure;Smoke_Alarm_at_Fire_Origin_Alarm_Type;Status_of_Fire_On_Arrival;TFS_Alarm_Time;TFS_Arrival_Time
Porch or Balcony;No business interruption;0;86;3000;0;2018-08-24T17:06:26;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system did not operate;Fire alarm system present;2018-08-24T17:06:28;Undetermined;114;18;2018-08-24T17:42:43;43,7603573;-79,41247867;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with smoke showing only - including vehicle, outdoor fires;2018-08-24T16:49:36;2018-08-24T16:54:09
Cooking Area or Kitchen;Undetermined;0;28;50000;28;2018-11-24T07:19:00;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system operated;Fire alarm system present;2018-11-24T07:19:00;Other Cooking Items (eg Toaster, Kettle, elec frying pan);142;7;2018-11-24T12:45:21;43,75454169;-79,53041943;Plastic;Extinguished by occupant;Under Investigation;Infirmary;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire extinguished prior to arrival;2018-11-24T07:09:12;2018-11-24T07:14:23
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);1;16;1000000;130;2017-02-09T18:02:13;Spread beyond room of origin, same floor;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2017-02-09T18:36:21;Undetermined;325;27;2017-02-09T23:36:33;43,6573;-79,37346;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Flames showing from small area (one storey or less, part of a vehicle, outdoor);2017-02-09T17:45:07;2017-02-09T17:48:49
Undetermined  (formerly 98);May not resume operations;0;12;1000000;14;2012-10-30T00:52:04;Entire Structure;Undetermined;Fire alarm system operation undetermined;Undetermined;2012-10-30T01:28:48;Undetermined;332;20;2012-11-01T16:30:31;43,64935;-79,3937;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Clothing Store, Accessories, fur;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Flames showing from large area (more than one storey, large area outdoors);2012-10-30T00:42:01;2012-10-30T00:44:58
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);8;11;125000;2;2018-07-08T04:35:00;Spread beyond room of origin, same floor;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-07-08T04:38:28;Matches or Lighters (unable to distinguish);442;5;2018-07-08T16:44:07;43,6979603;-79,5115388;Bedding;Extinguished by fire department;Suspected Arson;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2018-07-08T04:08:50;2018-07-08T04:13:54
Engine Area;No business interruption;0;11;100000;0;2019-02-18T10:26:25;Confined to object of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2019-02-18T10:27:48;Vehicle - Electrical;121;15;2019-02-18T11:10:29;43,74148143;-79,39997881;Electrical Wiring Insulation;Extinguished by fire department;Electrical Failure;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2019-02-18T10:19:01;2019-02-18T10:23:27
Concealed Ceiling Area;May resume operations within a month;0;11;30000;13;2015-03-07T04:49:35;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system operated;Fire alarm system present;2015-03-07T04:59:00;Circuit Wiring - Copper;426;14;2015-03-07T07:23:14;43,63417;-79,4294;Structural Member;Extinguished by fire department;Electrical Failure;Other care facility;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2015-03-07T04:38:13;2015-03-07T04:44:28
Cooking Area or Kitchen;No business interruption;8;11;50000;40;2014-06-09T16:15:00;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2014-06-09T16:20:00;Stove, Range-top burner;342;17;2014-06-09T18:12:07;43,68603;-79,44397;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Battery operated;Fire with no evidence from street;2014-06-09T16:05:44;2014-06-09T16:09:50
Living Area (e.g. living, TV, recreation, etc);Undetermined;0;10;250000;10;2014-03-20T02:03:11;Spread beyond room of origin, same floor;Undetermined;Fire alarm system operation undetermined;Undetermined;2014-03-20T02:48:02;Undetermined;315;20;2014-03-20T15:05:47;43,6544;-79,39864;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Rooming/Boarding/Lodging House;Reason for inoperation undetermined;Type undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2014-03-20T01:53:12;2014-03-20T01:57:58
Hallway, Corridor;Not applicable (not a business);2;10;450000;200;2011-02-16T00:44:00;Spread to other floors, confined to building;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2011-02-16T01:14:14;Distribution Equipment (includes panel boards, fuses, circuit br;322;29;2011-02-16T05:38:49;43,68797;-79,35087;Electrical Wiring Insulation;Extinguished by fire department;Electrical Failure;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2011-02-15T23:22:11;2011-02-15T23:26:53
